9,395,608,4
9,432,611,8
9,456,629,12
9,477,638,16
9,495,646,20
9,513,651,24
9,538,654,28
3,145,551,4
3,160,530,8
3,170,510,12
3,182,503,16
3,186,499,20
3,186,492,24
3,194,489,28
3,199,475,32
2,124,609,4
2,134,584,8
2,143,565,12
2,147,552,16
2,156,542,20
2,167,528,24
2,174,517,28
2,179,508,32
151,564,560,24
151,557,556,28
151,556,549,32
151,555,545,36
151,544,534,40
80,641,217,8
80,732,271,12
80,793,306,16
80,866,349,20
80,932,384,24
80,996,417,28
80,1064,452,32
80,1129,486,36
80,1177,513,40
64,639,634,8
64,633,635,12
64,634,640,16
64,634,621,16
64,632,621,20
64,614,634,20
64,626,622,24
64,616,632,28
64,603,637,32
64,608,623,32
64,605,634,36
64,600,630,40
103,982,302,12
103,914,266,16
103,831,223,20
103,762,188,24
103,696,146,28
103,626,108,32
103,557,73,36
103,496,31,40
144,570,637,20
144,569,638,24
144,567,638,28
144,572,649,32
144,565,629,36
144,561,632,40
144,560,633,44
118,324,366,16
118,307,345,20
118,293,329,24
118,278,320,28
118,259,309,32
118,236,304,36
118,218,299,40
118,197,306,44
148,276,75,24
148,286,99,28
148,297,116,32
148,306,121,36
148,320,133,40
148,347,148,44
148,338,157,48
174,508,530,32
174,508,521,36
174,506,517,40
174,505,509,44
174,499,507,48
174,490,501,52
95,1155,385,12
95,1091,352,16
95,1014,308,20
95,946,272,24
95,881,234,28
95,815,196,32
95,751,158,36
95,684,121,40
95,623,87,44
95,564,52,48
95,500,22,52
164,192,420,28
164,184,417,32
164,175,412,36
164,166,404,40
164,161,407,44
164,156,407,48
164,155,414,52
164,151,393,52
164,153,388,56
164,153,414,56
31,856,514,4
31,842,512,8
31,837,513,12
31,824,513,16
31,821,511,20
31,814,512,24
31,805,509,28
31,796,506,32
31,784,502,36
31,777,500,40
31,772,500,44
31,767,496,48
31,762,493,52
31,754,488,56
31,741,493,56
31,753,488,60
269,443,423,60
269,432,419,64
269,418,415,68
269,407,410,72
269,388,396,76
35,1050,657,4
35,1039,652,8
35,1029,640,12
35,1018,634,16
35,1007,629,20
35,997,620,24
35,982,611,28
35,973,604,32
35,964,599,36
35,953,594,40
35,946,585,44
35,938,576,48
35,926,568,52
35,922,568,56
35,917,565,60
35,913,566,64
35,901,563,68
35,904,566,72
35,901,565,76
35,897,567,80
319,780,171,76
319,782,172,80
319,782,156,80
319,794,167,84
319,798,165,88
26,676,456,4
26,667,446,8
26,655,429,12
26,646,423,16
26,642,420,20
26,628,414,24
26,615,410,28
26,607,410,32
26,597,408,36
26,583,410,40
26,567,411,44
26,562,411,48
26,547,411,52
26,541,415,56
26,524,414,60
26,515,415,64
26,506,416,68
26,493,416,72
26,482,415,76
26,474,414,80
26,464,418,84
26,452,416,88
26,448,412,92
26,443,412,92
320,181,12,76
320,233,36,80
320,289,73,84
320,362,134,88
320,431,181,92
386,688,598,92
386,688,598,96
386,689,591,100
386,682,589,104
386,680,589,108
366,949,136,88
366,948,148,92
366,942,157,96
366,940,168,100
366,936,177,104
366,933,189,108
366,925,193,112
366,920,197,116
297,744,492,68
297,737,487,72
297,732,484,76
297,727,478,80
297,720,474,84
297,714,471,88
297,708,467,92
297,703,463,96
297,703,450,100
297,697,453,100
297,690,453,104
297,684,454,108
297,679,454,112
297,674,451,116
297,668,448,120
409,573,269,100
409,646,305,104
409,729,336,108
409,808,366,112
409,884,403,116
409,961,447,120
376,202,234,92
376,191,240,96
376,176,246,100
376,165,251,104
376,144,255,108
376,133,257,112
376,116,253,116
376,116,256,120
361,889,555,88
361,891,576,92
361,890,556,92
361,887,558,96
361,889,551,100
361,889,541,100
361,886,541,104
361,880,536,108
361,872,532,112
361,865,524,116
361,870,516,120
361,862,513,124
395,506,329,96
395,499,329,100
