19,571,550,4
19,564,565,4
19,574,533,8
19,581,532,12
19,567,557,12
49,200,411,8
49,203,412,12
49,198,409,16
49,175,409,16
49,191,410,20
47,707,125,8
47,653,95,12
47,600,67,16
47,545,33,20
47,530,29,20
47,493,17,24
16,533,360,4
16,530,355,4
16,524,351,8
16,517,351,12
16,516,350,16
16,506,333,16
16,508,345,20
16,511,338,24
16,515,338,28
16,513,343,32
77,469,526,16
77,471,533,20
77,464,529,24
77,457,522,28
77,456,517,32
77,451,518,36
10,405,589,4
10,426,604,8
10,436,614,12
10,452,624,16
10,465,635,20
10,482,642,24
10,496,646,28
10,511,651,32
10,535,655,36
121,478,453,28
121,471,445,32
121,462,441,36
121,457,445,40
121,439,423,44
39,994,318,4
39,925,277,8
39,871,245,12
39,816,213,16
39,759,180,20
39,702,146,24
39,647,116,28
39,594,87,32
39,538,59,36
39,484,30,40
39,445,14,44
3,149,543,4
3,154,536,8
3,162,523,12
3,167,517,16
3,176,509,20
3,182,501,24
3,186,500,28
3,186,493,32
3,186,492,32
3,192,487,36
3,194,483,40
3,204,467,44
133,308,75,32
133,318,76,36
133,329,88,40
133,337,97,44
133,362,116,48
124,285,67,28
124,276,74,32
124,285,96,36
124,293,102,40
124,301,113,44
124,308,125,48
68,1170,393,16
68,1127,369,20
68,1067,339,24
68,1011,307,28
68,954,276,32
68,898,245,36
68,843,213,40
68,791,182,44
68,740,152,48
68,684,121,52
34,537,166,4
34,602,197,8
34,654,225,12
34,704,254,16
34,761,287,20
34,816,320,24
34,871,351,28
34,924,380,32
34,979,409,36
34,1035,437,40
34,1089,465,44
34,1141,493,48
34,1177,513,52
41,1180,381,4
41,1138,362,8
41,1075,338,12
41,1012,314,16
41,949,285,20
41,888,251,24
41,827,221,28
41,769,191,32
41,713,156,36
41,655,124,40
41,601,97,44
41,547,67,48
41,496,31,52
158,560,631,44
158,563,659,44
158,565,630,48
158,561,632,52
158,561,627,56
98,323,362,24
98,305,345,28
98,296,331,32
98,283,321,36
98,261,313,40
98,251,306,44
98,236,304,48
98,218,299,52
122,571,560,28
122,565,558,32
122,561,557,36
122,552,551,40
122,556,545,44
122,572,535,48
122,553,532,52
122,549,533,52
170,700,261,48
170,702,246,52
170,725,230,56
170,738,221,60
170,771,220,64
145,187,416,40
145,182,415,44
145,169,411,48
145,166,404,52
145,157,407,56
145,154,405,60
145,150,396,60
145,151,388,64
145,152,412,64
145,151,385,68
32,1046,654,4
32,1042,655,8
32,1038,651,12
32,1032,646,16
32,1019,637,20
32,1014,632,24
32,1007,628,28
32,996,622,32
32,987,612,36
32,972,606,40
32,969,601,44
32,962,598,48
32,953,594,52
32,940,577,56
32,929,572,60
32,921,567,64
32,918,565,68
29,853,515,4
29,847,513,8
29,842,512,12
29,838,511,16
29,831,514,20
29,826,510,24
29,821,511,28
29,815,512,32
29,805,510,36
29,800,508,40
29,802,499,44
29,786,502,48
29,777,500,52
29,769,497,56
29,764,493,60
29,756,490,64
29,750,489,68
29,745,489,72
23,671,449,4
23,668,444,8
23,667,439,12
23,659,432,16
23,653,431,20
23,647,414,20
23,644,418,24
23,641,418,28
23,632,414,32
23,616,411,36
23,614,410,40
23,599,409,44
23,595,408,48
23,583,410,52
23,566,410,56
23,545,413,60
23,539,415,64
23,520,414,68
23,514,416,72
23,508,416,76
23,497,416,80
23,487,414,84
289,907,565,80
289,899,566,84
289,896,563,84
289,895,564,88
289,890,564,88
271,575,518,76
271,572,520,80
271,570,523,84
271,558,529,88
271,554,528,92
203,442,511,56
203,433,510,60
203,422,502,64
203,409,496,68
203,400,492,72
203,389,490,72
203,387,488,76
203,378,485,80
203,368,481,84
203,364,476,88
